	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation	Fraction
94	NM_004215_2	Homo sapiens estrogen receptor binding site associated, antigen, 9 (EBAG9), transcript variant 1, mRNA|EBAG9|frame-3			7.4175981589008595	100.0	16.92	310.3390405743748					Related Proteins	NM_198120_2	NM_004215_2, NM_198120_2	1	1	1	1	1	1	1	3	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1D09_0
100	NM_002096_2	Homo sapiens general transcription factor IIF, polypeptide 1, 74kDa (GTF2F1), mRNA|GTF2F1|frame-2			26.172546152486415	100.0	6.7	90.05373945238554					Single Protein		NM_002096_2	1	2	2	1	2	1	1	9	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1D09_0
24	NM_001033551_5	Homo sapiens target of myb1-like 2 (chicken) (TOM1L2), transcript variant 1, mRNA|TOM1L2|frame-2			14.460222447876935	56.2	11.68	318.27209960337086					Related Proteins	NM_001082968_6	NM_001033551_5, NM_001082968_6	1	1	1	1	1	1	1	5	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1C02_0
87	NM_015061_3	Homo sapiens jumonji domain containing 2C (JMJD2C), mRNA|KDM4C|frame-2			5.534937690234683	100.0	38.3	362.95495880258756					Single Protein		NM_015061_3	1	1	1	1	1	1	2	2	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1F05_0
229	NM_001326_1	Homo sapiens cleavage stimulation factor, 3' pre-RNA, subunit 3, 77kDa (CSTF3), transcript variant 1, mRNA|CSTF3|frame-3			5.338896643203161	100.0	25.58	396.71821078422363					Single Protein		NM_001326_1	1	1	1	1	1	1	2	8	99.30555555555556	Doubtful	WAN100329_OT2_HS3NE_HCW_P1F05_0
268	NM_007147_10	Homo sapiens zinc finger protein 175 (ZNF175), mRNA|ZNF175|frame-3			5.378252024480642	23.4	21.28	775.4037756237099					Single Protein		NM_007147_10	1	1	1	1	1	1	1	1	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1F05_0
20	NM_005678_1	Homo sapiens SNRPN upstream reading frame (SNURF), transcript variant 1, mRNA|SNURF|frame-1			24.598037046891474	77.92	3.75	305.3139468999814					Related Proteins	P14678, P63162	NM_005678_1, P14678, P63162	1	1	0	0	1	1	1	2	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P2B06_0
150	NM_004292_1	Homo sapiens Ras and Rab interactor 1 (RIN1), mRNA|RIN1|frame-3			7.419869810772043	100.0	11.59	209.62192386205672					Single Protein		NM_004292_1	1	1	1	1	1	1	1	2	98.96907216494846	Doubtful	WAN100329_OT2_HS3NE_HCW_P1G03_0
182	NM_000201_7	Homo sapiens intercellular adhesion molecule 1 (ICAM1), mRNA|ICAM1|frame-2			10.283982551829952	39.6	9.9	431.75858944722125					Single Protein		NM_000201_7	1	1	1	1	1	1	2	2	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1G03_0
229	NM_005678_1	Homo sapiens SNRPN upstream reading frame (SNURF), transcript variant 1, mRNA|SNURF|frame-1			24.598037046891474	77.92	3.75	60.26630311034131					Related Proteins	P14678, P63162	NM_005678_1, P14678, P63162	1	1	1	1	1	1	1	1	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1G03_0
65	NM_023068_1	Homo sapiens sialic acid binding Ig-like lectin 1, sialoadhesin (SIGLEC1), mRNA|SIGLEC1|frame-3			10.477576035827806	74.0	9.0	869.3131857539411					Single Protein		NM_023068_1	1	1	1	1	1	1	3	10	96.45390070921985	Doubtful	WAN100329_OT2_HS3NE_HCW_P1B05_0
72	NM_198576_3	Homo sapiens agrin (AGRN), mRNA|AGRN|frame-2			10.957189625273154	100.0	10.31	298.73305352369107					Single Protein		NM_198576_3	1	1	1	1	1	1	1	1	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1B05_0
103	NM_001018102_1	Homo sapiens glutamate receptor, ionotropic, N-methyl D-aspartate-like 1A (GRINL1A), transcript variant 2, mRNA|GRINL1A|frame-2			8.709258919733891	69.77	15.12	336.9430952534655					Related Proteins	NM_015532_1, Q6EEV4	NM_001018102_1, NM_015532_1, Q6EEV4	1	1	1	1	1	1	1	1	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1B05_0
116	NM_001024210_1	Homo sapiens S100 calcium binding protein A13 (S100A13), transcript variant 1, mRNA|S100A13|frame-3			5.511964432934371	100.0	33.33	1811.0691369873773					Single Protein		NM_001024210_1	1	1	1	1	1	1	3	6	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1B05_0
44	NM_000550_1	Homo sapiens tyrosinase-related protein 1 (TYRP1), mRNA|TYRP1|frame-3			4.76133466547303	100.0	31.91	653.7610557566792					Single Protein		NM_000550_1	1	1	1	1	1	1	2	2	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1D08_0
74	NM_003047_1	Homo sapiens solute carrier family 9 (sodium/hydrogen exchanger), member 1 (SLC9A1), mRNA|SLC9A1|frame-1			5.184701190853743	100.0	43.75	320.07051688087415					Single Protein		NM_003047_1	1	1	1	1	1	1	1	26	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1D08_0
89	NM_016319_1	Homo sapiens COP9 constitutive photomorphogenic homolog subunit 7A (Arabidopsis) (COPS7A), mRNA|COPS7A|frame-2			5.769817102187951	100.0	50.91	279.3342692778538					Single Protein		NM_016319_1	1	1	1	1	1	1	1	1	50.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1D08_0
137	NM_014945_2	Homo sapiens actin binding LIM protein family, member 3 (ABLIM3), mRNA|ABLIM3|frame-1			8.52828632078204	100.0	21.79	196.9664719266918					Single Protein		NM_014945_2	1	1	1	1	1	1	1	7	80.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1D08_0
143	NM_001040059_3	Homo sapiens CD68 molecule (CD68), transcript variant 2, mRNA|CD68|frame-2			6.265366509115363	100.0	32.14	274.3461573264636					Related Proteins	NM_001251_3	NM_001040059_3, NM_001251_3	1	1	1	1	1	1	1	2	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1D08_0
9	NM_017723_1	Homo sapiens chromosome 9 open reading frame 167 (C9orf167), mRNA|C9orf167|frame-2			26.856057094940923	100.0	5.88	284.56399904681246					Single Protein		NM_017723_1	1	1	1	1	1	1	1	1	7.4665515753129075	Doubtful	WAN100329_OT2_HS3NE_HCW_P2B11_0
11	NM_015120_1	Homo sapiens Alstrom syndrome 1 (ALMS1), mRNA|ALMS1|frame-3			10.958416072215412	100.0	16.81	569.1279980936249					Single Protein		NM_015120_1	1	1	1	1	1	1	1	1	7.4665515753129075	Doubtful	WAN100329_OT2_HS3NE_HCW_P2B11_0
115	NM_020810_8	Homo sapiens TRM5 tRNA methyltransferase 5 homolog (S. cerevisiae) (TRMT5), mRNA|TRMT5|frame-1			7.878419505034465	100.0	20.55	873.2020870612134					Related Proteins	P05204	NM_020810_8, P05204	1	1	1	1	1	1	2	2	97.2027972027972	Doubtful	WAN100329_OT2_HS3NE_HCW_P1F12_0
6	NM_021798_3	Homo sapiens interleukin 21 receptor (IL21R), transcript variant 1, mRNA|IL21R|frame-2			10.578320894287529	75.76	22.22	2224.5336089822817					Related Proteins	NM_181078_3, NM_181079_4	NM_021798_3, NM_181078_3, NM_181079_4	1	3	3	1	3	1	3	10	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P2C01_0
104	NM_015995_7	Homo sapiens Kruppel-like factor 13 (KLF13), mRNA|KLF13|frame-2			8.171186396058756	60.0	11.25	193.19069811059384					Single Protein		NM_015995_7	1	1	1	1	1	1	1	8	93.75	Doubtful	WAN100329_OT2_HS3NE_HCW_P1F04_0
125	NM_003155_6	Homo sapiens stanniocalcin 1 (STC1), mRNA|STC1|frame-1			7.499805496263324	100.0	20.9	276.81055251667175					Single Protein		NM_003155_6	1	1	1	1	1	1	2	2	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1F04_0
133	NM_005679_1	Homo sapiens TATA box binding protein (TBP)-associated factor, RNA polymerase I, C, 110kDa (TAF1C), transcript variant 1, mRNA|TAF1C|frame-3			10.080235022321911	68.32	8.91	268.78705824082624					Related Proteins	NM_139353_1	NM_005679_1, NM_139353_1	1	1	1	1	1	1	2	2	92.3076923076923	Doubtful	WAN100329_OT2_HS3NE_HCW_P1F04_0
143	XM_002343641_2	PREDICTED: Homo sapiens similar to zinc finger protein 564 (LOC100287841), mRNA|LOC100287841|frame-2			8.921821283222576	100.0	11.39	0.0					Related Proteins	XM_002345144_2, XM_002347921_2	XM_002343641_2, XM_002345144_2, XM_002347921_2	1	1	1	1	1	1	0	8	99.36305732484077	Doubtful	WAN100329_OT2_HS3NE_HCW_P1F04_0
164	NM_001001417_1	Homo sapiens TBC1 domain family, member 3B (TBC1D3B), mRNA|TBC1D3B|frame-2			6.023134894790721	100.0	16.36	337.20558215667285					Single Protein		NM_001001417_1	1	1	1	1	1	1	2	2	99.68051118210862	Doubtful	WAN100329_OT2_HS3NE_HCW_P1F04_0
248	NM_005678_1	Homo sapiens SNRPN upstream reading frame (SNURF), transcript variant 1, mRNA|SNURF|frame-1			24.598037046891474	88.33	3.75	77.27627924423754					Related Proteins	P14678, P63162	NM_005678_1, P14678, P63162	1	1	1	1	1	1	2	2	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1F04_0
270	NM_001008401_6	Homo sapiens zinc finger protein 761 (ZNF761), mRNA|ZNF761|frame-1			12.062405606028289	100.0	13.08	173.32997213660752					Single Protein		NM_001008401_6	1	1	1	1	1	1	2	4	99.67637540453075	Doubtful	WAN100329_OT2_HS3NE_HCW_P1F04_0
292	NM_001144932_2	Homo sapiens proteasome (prosome, macropain) subunit, beta type, 5 (PSMB5), transcript variant 3, mRNA|PSMB5|frame-2			7.561572286825824	100.0	18.18	140.50232589861372					Related Proteins	P28074	NM_001144932_2, P28074	1	1	1	1	1	1	1	1	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1F04_0
39	NM_001025204_1	Homo sapiens U2 small nuclear RNA auxiliary factor 1 (U2AF1), transcript variant c, mRNA|U2AF1|frame-1			8.566125586707344	100.0	16.0	268.44868350281735					Related Proteins	Q01081, Q8WU68	NM_001025204_1, Q01081, Q8WU68	1	1	0	0	1	1	2	2	100.0	Doubtful	WAN100425_OT2_HS3NE_HCW_P1H02_0
86	NM_181806_3	Homo sapiens aminoadipate-semialdehyde dehydrogenase (AASDH), mRNA|AASDH|frame-2			5.781073832270982	100.0	33.33	419.451067973152					Single Protein		NM_181806_3	1	1	1	1	1	1	1	1	98.78048780487805	Doubtful	WAN100425_OT2_HS3NE_HCW_P1H02_0
114	NM_001145415_2	Homo sapiens SET domain, bifurcated 1 (SETDB1), transcript variant 1, mRNA|SETDB1|frame-3			9.49893670470402	100.0	10.84	242.5741115989313					Related Proteins	NM_012432_2	NM_001145415_2, NM_012432_2	1	1	1	1	1	1	1	2	100.0	Doubtful	WAN100425_OT2_HS3NE_HCW_P1H02_0
149	NM_001080426_6	Homo sapiens dual specificity phosphatase 27 (putative) (DUSP27), mRNA|DUSP27|frame-3			6.715598418939283	48.39	0.0	0.0					Single Protein		NM_001080426_6	0	2	2	0	2	0	1	2	98.78048780487805	Doubtful	WAN100425_OT2_HS3NE_HCW_P1H02_0
180	NM_005678_1	Homo sapiens SNRPN upstream reading frame (SNURF), transcript variant 1, mRNA|SNURF|frame-1			24.598037046891474	77.92	3.75	83.89021359463041					Related Proteins	P14678, P63162	NM_005678_1, P14678, P63162	1	1	1	1	1	1	1	1	100.0	Doubtful	WAN100425_OT2_HS3NE_HCW_P1H02_0
45	NM_014749_5	Homo sapiens KIAA0586 (KIAA0586), mRNA|KIAA0586|frame-2			5.093709947548952	100.0	0.0	0.0					Single Protein		NM_014749_5	0	1	1	0	1	0	1	1	8.893113645965355	Doubtful	WAN100329_OT2_HS3NE_HCW_P1B06_0
46	NM_001402_6	Homo sapiens eukaryotic translation elongation factor 1 alpha 1 (EEF1A1), mRNA|EEF1A1|frame-1			4.65228208486498	100.0	36.59	1892.1593142990916					Single Protein		NM_001402_6	1	1	1	1	1	1	2	2	17.898832684824907	Doubtful	WAN100329_OT2_HS3NE_HCW_P1B06_0
73	NM_023068_1	Homo sapiens sialic acid binding Ig-like lectin 1, sialoadhesin (SIGLEC1), mRNA|SIGLEC1|frame-3			10.477576035827806	74.0	9.0	387.89265943131375					Single Protein		NM_023068_1	1	1	1	1	1	1	1	7	8.893113645965355	Doubtful	WAN100329_OT2_HS3NE_HCW_P1B06_0
124	NM_001122962_1	Homo sapiens signal-regulatory protein beta 2 (SIRPB2), transcript variant 1, mRNA|SIRPB2|frame-3			8.746565903248348	62.5	12.5	407.4396489127402					Related Proteins	NM_001134836_1	NM_001122962_1, NM_001134836_1	1	1	1	1	1	1	2	3	99.09502262443439	Doubtful	WAN100329_OT2_HS3NE_HCW_P1F11_0
19	NM_001105541_3	Homo sapiens neurofilament, medium polypeptide (NEFM), transcript variant 2, mRNA|NEFM|frame-3			9.101546975947619	63.75	10.0	155.5303801024561					Related Proteins	NM_005382_3	NM_001105541_3, NM_005382_3	1	1	1	1	1	1	1	2	76.0	Doubtful	WAN100425_OT2_HS3NE_HCW_P1G09_0
112	NM_021228_4	Homo sapiens SR-related CTD-associated factor 1 (SCAF1), mRNA|SCAF1|frame-1			9.629292073192332	100.0	0.0	0.0					Single Protein		NM_021228_4	0	1	1	0	1	0	1	1	75.0	Doubtful	WAN100425_OT2_HS3NE_HCW_P1G09_0
119	NM_023936_1	Homo sapiens mitochondrial ribosomal protein S34 (MRPS34), nuclear gene encoding mitochondrial protein, mRNA|MRPS34|frame-1			15.099867531204607	79.58	14.08	87.62274935349639					Single Protein		NM_023936_1	1	1	1	1	1	1	1	2	99.68354430379746	Doubtful	WAN100425_OT2_HS3NE_HCW_P1G09_0
166	NM_001080410_5	Homo sapiens F-box protein 41 (FBXO41), mRNA|FBXO41|frame-3			7.969024748273655	100.0	29.58	350.49099741398555					Single Protein		NM_001080410_5	1	1	1	1	1	1	2	2	76.0	Doubtful	WAN100425_OT2_HS3NE_HCW_P1G09_0
197	NM_173502_4	Homo sapiens protease, serine, 36 (PRSS36), mRNA|PRSS36|frame-1			12.662126658545722	45.22	0.0	0.0					Single Protein		NM_173502_4	0	1	1	0	1	0	0	2	75.0	Doubtful	WAN100425_OT2_HS3NE_HCW_P1G09_0
64	NM_183359_1	Homo sapiens bromodomain containing 8 (BRD8), transcript variant 3, mRNA|BRD8|frame-2			17.552073302862077	100.0	8.44	95.32330469518502					Related Proteins	Q9H0E9	NM_183359_1, Q9H0E9	1	1	1	1	1	1	2	2	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1F07_0
132	NM_005137_10	Homo sapiens DiGeorge syndrome critical region gene 2 (DGCR2), mRNA|DGCR2|frame-1			8.928372667855319	100.0	16.05	181.23196201306777					Single Protein		NM_005137_10	1	1	1	1	1	1	2	7	83.33333333333334	Doubtful	WAN100329_OT2_HS3NE_HCW_P1F07_0
149	NM_017617_14	Homo sapiens Notch homolog 1, translocation-associated (Drosophila) (NOTCH1), mRNA|NOTCH1|frame-1			6.1193322958831216	100.0	19.23	1129.2145325429608					Single Protein		NM_017617_14	1	1	1	1	1	1	8	36	99.57627118644068	Doubtful	WAN100329_OT2_HS3NE_HCW_P1F07_0
5	NM_021798_3	Homo sapiens interleukin 21 receptor (IL21R), transcript variant 1, mRNA|IL21R|frame-2			10.578320894287529	75.76	22.22	694.4460826702973					Related Proteins	NM_181078_3, NM_181079_4	NM_021798_3, NM_181078_3, NM_181079_4	1	2	2	1	2	1	1	3	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P2C02_0
6	NM_002699_2	Homo sapiens POU class 3 homeobox 1 (POU3F1), mRNA|POU3F1|frame-1			12.34919709550571	100.0	8.41	642.5248802276581					Single Protein		NM_002699_2	1	1	1	1	1	1	1	1	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P2C02_0
15	NM_001079877_11	Homo sapiens RAS p21 protein activator 4 (RASA4), transcript variant 2, mRNA|RASA4|frame-2			7.799182043486158	100.0	20.29	996.3791620921656					Related Proteins	NM_006989_11	NM_001079877_11, NM_006989_11	1	2	2	1	2	1	1	3	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P2C02_0
19	NM_020485_1	Homo sapiens Rh blood group, CcEe antigens (RHCE), transcript variant 1, mRNA|RHCE|frame-1			6.187401237747961	100.0	56.86	1348.0423957717535					Related Proteins	NM_138616_1, NM_138617_1, NM_138618_1	NM_020485_1, NM_138616_1, NM_138617_1, NM_138618_1	1	1	1	1	1	1	1	1	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P2C02_0
36	NM_001025204_1	Homo sapiens U2 small nuclear RNA auxiliary factor 1 (U2AF1), transcript variant c, mRNA|U2AF1|frame-1			8.566125586707344	100.0	16.0	231.71180601412158					Related Proteins	Q01081, Q8WU68	NM_001025204_1, Q01081, Q8WU68	1	1	1	1	1	1	1	1	100.0	Doubtful	WAN100425_OT2_HS3NE_HCW_P1H01_0
113	XM_002343641_2	PREDICTED: Homo sapiens similar to zinc finger protein 564 (LOC100287841), mRNA|LOC100287841|frame-2			8.921821283222576	100.0	11.39	439.9591253432688					Related Proteins	XM_002345144_2, XM_002347921_2	XM_002343641_2, XM_002345144_2, XM_002347921_2	1	1	1	1	1	1	2	2	36.36363636363637	Doubtful	WAN100425_OT2_HS3NE_HCW_P1H01_0
163	NM_025081_7	Homo sapiens KIAA1305 (KIAA1305), mRNA|NYNRIN|frame-1			5.959929201752892	100.0	25.49	0.0					Single Protein		NM_025081_7	1	1	1	1	1	1	0	27	98.26839826839827	Doubtful	WAN100425_OT2_HS3NE_HCW_P1H01_0
107	NM_005678_1	Homo sapiens SNRPN upstream reading frame (SNURF), transcript variant 1, mRNA|SNURF|frame-1			24.598037046891474	77.92	3.75	228.46537997584574					Related Proteins	P14678, P63162	NM_005678_1, P14678, P63162	1	1	1	1	1	1	2	2	54.54545454545454	Doubtful	WAN100329_OT2_HS3NE_HCW_P2B04_0
176	NM_001144829_2	Homo sapiens flavin containing monooxygenase 5 (FMO5), transcript variant 2, mRNA|FMO5|frame-2			6.177391267311224	100.0	0.0	0.0					Related Proteins	NM_001461_2	NM_001144829_2, NM_001461_2	0	1	1	0	1	0	1	1	98.32402234636871	Doubtful	WAN100329_OT2_HS3NE_HCW_P2B04_0
4	NM_003915_1	Homo sapiens copine I (CPNE1), transcript variant 3, mRNA|CPNE1|frame-1			13.244771519934066	69.49	7.63	280.0599453146706					Related Proteins	Q9NTZ6	NM_003915_1, Q9NTZ6	1	1	0	0	0	0	2	2	14.20579420579421	Doubtful	WAN100329_OT2_HS3NE_HCW_P1B07_0
5	NM_014709_10	Homo sapiens ubiquitin specific peptidase 34 (USP34), mRNA|USP34|frame-3			6.488282883740974	47.46	15.25	0.0					Single Protein		NM_014709_10	1	1	1	1	1	1	0	5	14.20579420579421	Doubtful	WAN100329_OT2_HS3NE_HCW_P1B07_0
42	NM_078471_10	Homo sapiens myosin XVIIIA (MYO18A), transcript variant 1, mRNA|MYO18A|frame-3			12.406189737697726	100.0	21.74	0.0					Related Proteins	NM_203318_11, O95411	NM_078471_10, NM_203318_11, O95411	1	1	1	1	1	1	0	5	14.20579420579421	Doubtful	WAN100329_OT2_HS3NE_HCW_P1B07_0
61	NM_001077484_6	Homo sapiens solute carrier family 38, member 1 (SLC38A1), transcript variant 2, mRNA|SLC38A1|frame-1			5.7339370237219525	100.0	28.3	433.3002927509997					Related Proteins	NM_030674_6	NM_001077484_6, NM_030674_6	1	1	1	1	1	1	1	8	14.20579420579421	Doubtful	WAN100329_OT2_HS3NE_HCW_P1B07_0
78	NM_138999_1	Homo sapiens neuropilin (NRP) and tolloid (TLL)-like 1 (NETO1), transcript variant 1, mRNA|NETO1|frame-3			5.2637388647187295	100.0	40.91	521.9298980864315					Single Protein		NM_138999_1	1	1	1	1	1	1	1	1	14.20579420579421	Doubtful	WAN100329_OT2_HS3NE_HCW_P1B07_0
140	XM_001723152_3	PREDICTED: Homo sapiens hypothetical protein LOC100131530 (LOC100131530), mRNA|LOC100131530|frame-1			5.4228370305099425	100.0	59.57	488.615223740489					Related Proteins	XM_001725060_3, XM_001726701_3	XM_001723152_3, XM_001725060_3, XM_001726701_3	1	1	1	1	1	1	1	3	14.20579420579421	Doubtful	WAN100329_OT2_HS3NE_HCW_P1B07_0
198	NM_080738_1	Homo sapiens EDAR-associated death domain (EDARADD), transcript variant B, mRNA|EDARADD|frame-1			42.31468840831927	92.01	5.93	177.56377976136332					Related Proteins	NM_145861_1	NM_080738_1, NM_145861_1	2	2	1	1	1	1	5	5	14.20579420579421	Doubtful	WAN100329_OT2_HS3NE_HCW_P1B07_0
121	NM_005632_2	Homo sapiens small optic lobes homolog (Drosophila) (SOLH), mRNA|SOLH|frame-3			15.27716875375146	100.0	5.52	103.57076132893512					Single Protein		NM_005632_2	1	1	1	1	1	1	1	3	100.0	Doubtful	WAN100425_OT2_HS3NE_HCW_P1G08_0
5	NM_003895_4	Homo sapiens synaptojanin 1 (SYNJ1), transcript variant 1, mRNA|SYNJ1|frame-1			6.063134735358718	54.55	14.55	0.0					Related Proteins	NM_203446_5	NM_003895_4, NM_203446_5	1	1	1	1	1	1	0	8	96.35854341736695	Doubtful	WAN100329_OT2_HS3NE_HCW_P1F06_0
102	NM_015061_3	Homo sapiens jumonji domain containing 2C (JMJD2C), mRNA|KDM4C|frame-2			5.534937690234683	100.0	38.3	386.1997142488662					Single Protein		NM_015061_3	1	1	1	1	1	1	2	2	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1F06_0
252	NM_005678_1	Homo sapiens SNRPN upstream reading frame (SNURF), transcript variant 1, mRNA|SNURF|frame-1			24.598037046891474	77.92	3.75	75.63077737373631					Related Proteins	P14678, P63162	NM_005678_1, P14678, P63162	1	2	2	1	2	1	2	6	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1F06_0
271	NM_001326_1	Homo sapiens cleavage stimulation factor, 3' pre-RNA, subunit 3, 77kDa (CSTF3), transcript variant 1, mRNA|CSTF3|frame-3			5.338896643203161	100.0	25.58	422.1252690627142					Single Protein		NM_001326_1	1	1	1	1	1	1	2	7	97.6401179941003	Doubtful	WAN100329_OT2_HS3NE_HCW_P1F06_0
3	NM_003915_1	Homo sapiens copine I (CPNE1), transcript variant 3, mRNA|CPNE1|frame-1			13.244771519934066	69.49	7.63	197.19283663066275					Related Proteins	Q9NTZ6	NM_003915_1, Q9NTZ6	1	1	0	0	1	1	1	1	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1B11_0
74	NM_000441_1	Homo sapiens solute carrier family 26, member 4 (SLC26A4), mRNA|SLC26A4|frame-1			5.592099484900291	48.94	31.91	2064.2313962188523					Single Protein		NM_000441_1	1	1	1	1	1	1	3	14	99.19354838709677	Doubtful	WAN100329_OT2_HS3NE_HCW_P1B11_0
102	NM_033071_1	Homo sapiens spectrin repeat containing, nuclear envelope 1 (SYNE1), transcript variant 2, mRNA|SYNE1|frame-1			5.363543829945571	100.0	0.0	0.0					Related Proteins	NM_182961_1	NM_033071_1, NM_182961_1	0	1	1	0	1	0	1	2	81.25	Doubtful	WAN100329_OT2_HS3NE_HCW_P1B11_0
